order_id,order_datetime,order_id_from_item,product_id,quantity,product_price,product_name
1,2019-08-03 20:25:00,1,6,2,0.8,Plain Papadum
1,2019-08-03 20:25:00,1,240,1,12.95,King Prawn Balti
1,2019-08-03 20:25:00,1,19,1,2.95,Garlic Naan
1,2019-08-03 20:25:00,1,36,1,3.95,Mushroom Rice
1,2019-08-03 20:25:00,1,111,1,8.95,Paneer Tikka Masala
1,2019-08-03 20:25:00,1,3,1,0.5,Mango Chutney
2,2019-08-03 20:17:00,2,11,1,2.6,Plain Naan
2,2019-08-03 20:17:00,2,36,1,3.95,Mushroom Rice
2,2019-08-03 20:17:00,2,55,1,4.95,Tandoori Chicken (1/4)
2,2019-08-03 20:17:00,2,98,1,7.95,Vindaloo - Lamb
2,2019-08-03 20:17:00,2,8,1,1.95,Chapati
2,2019-08-03 20:17:00,2,58,1,4.95,Lamb Tikka
2,2019-08-03 20:17:00,2,66,1,5.95,Saag Paneer
3,2019-08-03 20:09:00,3,54,1,4.95,Aloo Chaat
3,2019-08-03 20:09:00,3,68,1,5.95,Chicken Pakora
3,2019-08-03 20:09:00,3,169,1,9.95,Chicken Chilli Garlic
3,2019-08-03 20:09:00,3,170,1,9.95,Lamb Biryani
3,2019-08-03 20:09:00,3,13,1,2.95,Keema Naan
4,2019-08-03 20:01:00,4,68,1,5.95,Chicken Pakora
4,2019-08-03 20:01:00,4,6,1,0.8,Plain Papadum
4,2019-08-03 20:01:00,4,3,1,0.5,Mango Chutney
4,2019-08-03 20:01:00,4,4,1,0.5,Red Sauce
4,2019-08-03 20:01:00,4,191,1,9.95,Korma - Prawn
4,2019-08-03 20:01:00,4,14,1,2.95,Peshwari Naan
4,2019-08-03 20:01:00,4,15,1,2.95,Pilau Rice
5,2019-08-03 19:44:00,5,165,1,9.95,Chicken Balti
5,2019-08-03 19:44:00,5,34,2,3.95,Special Fried Rice
6,2019-08-03 19:42:00,6,103,1,8.95,Chicken Tikka Masala
6,2019-08-03 19:42:00,6,95,1,7.95,Curry - Lamb
6,2019-08-03 19:42:00,6,15,1,2.95,Pilau Rice
6,2019-08-03 19:42:00,6,14,1,2.95,Peshwari Naan
6,2019-08-03 19:42:00,6,6,1,0.8,Plain Papadum
7,2019-08-03 19:41:00,7,6,2,0.8,Plain Papadum
7,2019-08-03 19:41:00,7,38,1,3.95,Vegetable Rice
7,2019-08-03 19:41:00,7,203,1,9.95,Saag - Prawn
7,2019-08-03 19:41:00,7,136,1,8.95,Tandoori Chicken Masala
8,2019-08-03 19:29:00,8,15,1,2.95,Pilau Rice
